./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          9.887          9.713          4.23%          9.558         11.044
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          9.706          9.656          3.31%          9.269         10.469
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          9.880          9.778          3.65%          9.604         10.914
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          9.674          9.575          4.01%          9.318         10.746
                NewResourcesSubmissionDevice(api=ocl size=1)        403.153        405.893         12.38%        313.039        492.818
             NewResourcesSubmissionDevice(api=ocl size=64KB)        403.292        408.252         15.25%        287.945        542.716
            NewResourcesSubmissionDevice(api=ocl size=512KB)        373.660        344.163         22.85%        260.187        568.368
              NewResourcesSubmissionDevice(api=ocl size=1MB)        335.070        329.567         19.84%        218.621        426.719
             NewResourcesSubmissionDevice(api=ocl size=16MB)        586.691        574.917          5.42%        563.268        665.571
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1552.380       1508.797         10.16%       1380.726       1958.676
            NewResourcesSubmissionDevice(api=ocl size=256MB)       4722.151       4621.869          4.51%       4432.205       5145.830
              NewResourcesSubmissionDevice(api=ocl size=1GB)      16539.814      16558.135          0.65%      16392.961      16694.059
                  NewResourcesSubmissionHost(api=ocl size=1)         99.377         89.618         44.81%         70.402        229.192
               NewResourcesSubmissionHost(api=ocl size=64KB)        116.071        105.510         43.61%         70.990        229.595
              NewResourcesSubmissionHost(api=ocl size=512KB)        154.280        111.714         50.39%         90.057        339.323
                NewResourcesSubmissionHost(api=ocl size=1MB)        112.610         98.653         34.68%         77.957        195.275
               NewResourcesSubmissionHost(api=ocl size=16MB)        271.371        284.288         11.22%        209.071        299.961
               NewResourcesSubmissionHost(api=ocl size=64MB)       8128.597       8108.039          1.40%       7979.405       8352.100
              NewResourcesSubmissionHost(api=ocl size=256MB)      31432.941      31276.293          1.63%      31143.193      32924.719
                NewResourcesSubmissionHost(api=ocl size=1GB)     125977.752     125249.723          1.60%     123935.789     129044.093
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        527.852        584.843         20.52%        303.552        609.887
                NewResourcesWithGpuAccess(api=ocl size=64KB)        444.471        448.723         22.59%        189.569        547.443
               NewResourcesWithGpuAccess(api=ocl size=512KB)        367.274        372.681         20.31%        249.316        504.008
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        364.706        355.058         32.16%        196.500        647.158
                NewResourcesWithGpuAccess(api=ocl size=16MB)        680.667        700.438          8.83%        576.700        749.388
                NewResourcesWithGpuAccess(api=ocl size=64MB)       1666.429       1669.041          2.53%       1613.982       1715.271
               NewResourcesWithGpuAccess(api=ocl size=256MB)       5604.384       5605.676          1.25%       5484.097       5711.202
                 NewResourcesWithGpuAccess(api=ocl size=1GB)      21021.369      21028.688          0.40%      20843.066      21133.074
                                RoundTripSubmission(api=ocl)         62.428         62.959         18.03%         50.160         73.993
                            WalkerCompletionLatency(api=ocl)          3.098          2.979          8.42%          2.805          3.513
                             WalkerSubmissionEvents(api=ocl)         61.920         62.040          1.10%         60.400         63.120
