./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                         TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
    NewResourcesSubmissionHost(api=ocl size=16MB)        738.818        291.605        124.73%        240.589       2633.301
    NewResourcesSubmissionHost(api=ocl size=64MB)       8304.722       8240.011          4.56%       7870.075       9073.264
   NewResourcesSubmissionHost(api=ocl size=256MB)      30760.557      30721.361          0.47%      30624.195      31160.814
     NewResourcesSubmissionHost(api=ocl size=1GB)     127777.341     127812.848          1.02%     124371.783     129546.779
      NewResourcesWithGpuAccess(api=ocl size=1KB)        455.567        448.850         13.81%        353.457        596.425
     NewResourcesWithGpuAccess(api=ocl size=64KB)        302.175        303.160         34.81%        161.543        483.485
    NewResourcesWithGpuAccess(api=ocl size=512KB)        250.633        216.860         32.71%        173.252        413.987
      NewResourcesWithGpuAccess(api=ocl size=1MB)        297.070        286.520         18.11%        181.562        369.800
     NewResourcesWithGpuAccess(api=ocl size=16MB)        624.877        590.174          9.86%        552.209        736.610
     NewResourcesWithGpuAccess(api=ocl size=64MB)       1612.272       1606.490          3.16%       1507.801       1693.679
    NewResourcesWithGpuAccess(api=ocl size=256MB)       5618.450       5633.025          0.65%       5538.709       5659.778
      NewResourcesWithGpuAccess(api=ocl size=1GB)      20955.099      21019.544          0.70%      20638.295      21124.566
                     RoundTripSubmission(api=ocl)         59.271         52.350         17.01%         49.844         73.620
                 WalkerCompletionLatency(api=ocl)          3.068          2.976          8.88%          2.774          3.606
                  WalkerSubmissionEvents(api=ocl)         80.504         61.800         29.32%         60.320        110.400
