./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  1024
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)         23.227         23.044          2.19%         22.774         24.667
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)         23.210         23.098          1.87%         22.692         24.097
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)         25.514         23.026         25.69%         22.732         45.050
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)         23.328         23.232          1.94%         22.829         24.437
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)         25.024         23.147         19.13%         22.663         39.169
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)         23.042         23.029          1.00%         22.707         23.542
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)         37.844         37.612          2.48%         36.270         39.814
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)         32.110         35.829         24.02%         22.860         44.496
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)         23.577         23.137          5.19%         22.767         26.494
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)         23.298         23.000          2.97%         22.712         25.084
                NewResourcesSubmissionDevice(api=ocl size=1)        455.788        453.365         24.72%        309.836        699.131
             NewResourcesSubmissionDevice(api=ocl size=64KB)        475.029        510.255         20.95%        320.592        630.814
            NewResourcesSubmissionDevice(api=ocl size=512KB)        600.360        580.151         17.29%        458.362        853.755
              NewResourcesSubmissionDevice(api=ocl size=1MB)        646.601        618.155          9.04%        570.179        759.329
             NewResourcesSubmissionDevice(api=ocl size=16MB)       1300.144       1307.249          7.77%       1118.666       1515.900
             NewResourcesSubmissionDevice(api=ocl size=64MB)       2790.153       2792.988          4.55%       2523.745       3003.594
            NewResourcesSubmissionDevice(api=ocl size=256MB)       8225.883       8102.820          3.98%       7706.166       8793.132
              NewResourcesSubmissionDevice(api=ocl size=1GB)      28713.625      28697.781          1.18%      28253.300      29240.823
                  NewResourcesSubmissionHost(api=ocl size=1)        278.788        284.187         15.33%        157.566        327.551
               NewResourcesSubmissionHost(api=ocl size=64KB)        287.684        284.001          4.21%        271.369        320.154
              NewResourcesSubmissionHost(api=ocl size=512KB)        333.585        287.793         32.05%        239.019        562.507
                NewResourcesSubmissionHost(api=ocl size=1MB)        357.817        297.620         32.03%        291.570        609.271
               NewResourcesSubmissionHost(api=ocl size=16MB)        980.455        425.414        120.18%        359.500       3976.849
               NewResourcesSubmissionHost(api=ocl size=64MB)       8487.238       8379.959          4.63%       8080.440       9326.516
              NewResourcesSubmissionHost(api=ocl size=256MB)      31378.349      31331.099          0.44%      31257.443      31771.835
                NewResourcesSubmissionHost(api=ocl size=1GB)     129477.321     129849.152          1.03%     125551.155     130287.422
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        576.705        577.874         13.43%        450.572        711.971
                NewResourcesWithGpuAccess(api=ocl size=64KB)        504.069        493.679         13.28%        428.710        667.922
               NewResourcesWithGpuAccess(api=ocl size=512KB)        683.230        683.094         23.38%        391.984        933.555
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        683.256        678.971         14.53%        530.496        857.251
                NewResourcesWithGpuAccess(api=ocl size=16MB)       1265.545       1260.530          7.60%       1134.660       1439.016
                NewResourcesWithGpuAccess(api=ocl size=64MB)       2965.427       2959.256          2.44%       2799.572       3074.177
               NewResourcesWithGpuAccess(api=ocl size=256MB)       9272.661       9279.097          2.05%       8984.893       9626.289
                 NewResourcesWithGpuAccess(api=ocl size=1GB)      34648.946      34643.027          0.93%      34009.366      35102.073
                                RoundTripSubmission(api=ocl)        233.100        223.486         21.06%        168.094        371.303
                            WalkerCompletionLatency(api=ocl)        171.325        172.593          4.77%        148.788        182.936
                             WalkerSubmissionEvents(api=ocl)         66.792         65.280          6.72%         64.560         80.160
