Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                 NewResourcesWithGpuAccess(api=ocl size=1KB)         95.951         87.631         26.83%         66.896        147.261
                NewResourcesWithGpuAccess(api=ocl size=64KB)         95.014         80.391         25.74%         72.457        139.199
               NewResourcesWithGpuAccess(api=ocl size=512KB)        238.058        231.755         11.79%        184.760        296.935
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        219.290        214.307         15.82%        168.788        278.919
                NewResourcesWithGpuAccess(api=ocl size=16MB)       1930.784       1961.951          3.12%       1843.676       1999.566
                NewResourcesWithGpuAccess(api=ocl size=64MB)       6343.676       6324.372          0.67%       6296.182       6419.518
               NewResourcesWithGpuAccess(api=ocl size=256MB)      24732.224      24588.935          2.81%      23965.254      26015.197
                 NewResourcesWithGpuAccess(api=ocl size=1GB)     108994.406     112604.853          6.98%      97359.449     118430.184
                                RoundTripSubmission(api=ocl)         43.463         42.130         41.44%         24.515         74.005
                                 RoundTripSubmission(api=l0)         37.940         27.669         44.40%         25.765         75.755
                            WalkerCompletionLatency(api=ocl)          0.772          0.844         21.90%          0.433          0.900
                             WalkerCompletionLatency(api=l0)          0.610          0.601          6.29%          0.547          0.700
                             WalkerSubmissionEvents(api=ocl)         51.865         50.026         48.38%         28.698        112.448
                                        WriteLatency(api=l0)          2.747          2.803         10.73%          2.064          3.056
