Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          1.022          0.945         16.09%          0.890          1.348
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          2.492          0.898        187.80%          0.839         16.528
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          1.013          0.954         14.68%          0.908          1.367
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          2.921          0.934        199.11%          0.900         20.367
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          0.985          0.932         14.41%          0.851          1.279
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          1.012          0.897         25.48%          0.853          1.690
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          0.997          0.941         13.78%          0.864          1.281
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          0.972          0.929         16.06%          0.878          1.436
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          1.033          0.941         23.51%          0.885          1.711
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          0.938          0.901         12.80%          0.861          1.291
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          0.986          0.927         15.05%          0.860          1.352
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          0.938          0.895         15.46%          0.846          1.362
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          0.973          0.924         11.48%          0.881          1.245
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          0.941          0.903         12.42%          0.855          1.281
